date,sales
1/25/2023,4328.36
1/22/2023,9702.79
1/19/2023,1708.68
1/13/2023,2526.18
01/12/2023,1455.51
1/13/2023,7349.11
01/01/2023,6784.83
1/18/2023,8556.1
01/07/2023,7578.29
1/24/2023,8743.02
1/19/2023,4573.76
1/23/2023,6268.58
01/03/2023,2959.03
01/05/2023,5081.63
1/22/2023,1597.62
01/08/2023,8589.34
01/07/2023,6603.54
01/07/2023,9355.4
01/04/2023,1020.78
1/17/2023,5951.59
1/20/2023,4268.92
01/07/2023,7463.88
1/26/2023,7985.35
1/18/2023,4407.18
01/05/2023,4185.23
01/09/2023,6720.98
1/24/2023,8387.02
1/27/2023,9740.82
1/22/2023,9762.69
01/09/2023,6221.71
1/21/2023,9004.4
1/23/2023,1698.79
1/26/2023,4235.33
1/21/2023,3043
01/08/2023,1159.67
1/15/2023,1774.91
1/26/2023,3329.17
1/23/2023,3062.39
01/12/2023,828.48
1/26/2023,5441.28
1/21/2023,451.51
1/28/2023,6272.8
01/05/2023,1056.4
1/20/2023,8992.73
1/25/2023,9943.29
01/06/2023,8677.7
1/21/2023,4441.27
1/19/2023,7956.42
01/10/2023,6809.5
1/30/2023,4453.5
1/25/2023,5322.76
1/18/2023,9418.79
1/23/2023,265.61
1/22/2023,2455.91
1/21/2023,8873.97
1/17/2023,8749.66
1/17/2023,4067.65
01/09/2023,9802.88
1/27/2023,5290.58
1/16/2023,8114.18
01/08/2023,9478.19
01/03/2023,3862.81
1/21/2023,6127.86
1/23/2023,8916.01
1/13/2023,7102.21
01/03/2023,1420.54
01/03/2023,5912
1/27/2023,2515.03
1/14/2023,6613.8
01/09/2023,2405.58
01/04/2023,8922.16
1/28/2023,3634.05
01/11/2023,4657.59
1/27/2023,4901.85
01/07/2023,2016.82
1/23/2023,9997.71
01/07/2023,8169.36
1/21/2023,3225.77
1/25/2023,1449.77
1/29/2023,6925.16
01/01/2023,6323.28
1/19/2023,6260.93
01/09/2023,7679.32
01/11/2023,4350.59
1/14/2023,9829.73
01/10/2023,4620.2
01/07/2023,1099.19
1/25/2023,235.67
1/15/2023,7203.2
01/05/2023,268.38
1/29/2023,9532.59
1/18/2023,518.8
01/08/2023,7971.45
01/03/2023,2918.72
1/18/2023,9037.17
